,track_id,track_name,artist,album_type,release_date,decade,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
55,3X9tJw6z5LowFx339fhTvu,I Walk the Line - Stereo Version,Johnny Cash,album,1964-06-13,1960,56,0.596,0.194,10,-20.389,1,0.0347,0.97,0.162,0.099,0.746,114.974,154173,4
56,0XnhQGfqfi5CnZXcONJuI5,Good Lovin' - Single Version,The Young Rascals,album,1966,1960,58,0.252,0.507,2,-13.337,1,0.0442,0.00206,0.00057,0.325,0.816,196.494,150907,4
57,7CQXyFX44CXmnuq8Bi9Dyc,Get Together,The Youngbloods,album,1967-03-10,1960,56,0.542,0.492,2,-11.927,1,0.0256,0.467,0.00105,0.0863,0.58,103.064,279280,4
58,4FdDorlbJTVHcH3djLbIfn,Ode To Billie Joe,Bobbie Gentry,album,1967-08-21,1960,58,0.637,0.189,7,-10.726,1,0.0471,0.721,0.0,0.0939,0.695,120.142,255002,4
59,1qTfHUVPsZTnrmvwQrAQdW,Crimson & Clover - Single Version; Mono,Tommy James & The Shondells,single,1969,1960,56,0.405,0.592,11,-12.309,1,0.0698,0.262,0.021,0.166,0.659,82.736,208667,4
60,4ME2YQNThxEW63fxojzHvN,One - Single Version,Three Dog Night,album,1968-01-01,1960,59,0.55,0.409,5,-12.702,0,0.0321,0.312,0.0,0.096,0.405,61.226,185827,4
61,7AL6qzIDHIX7pEUWrzNiIs,Hurdy Gurdy Man,Donovan,album,1968-10,1960,62,0.405,0.463,0,-16.167,1,0.0542,0.00379,0.0442,0.392,0.542,79.451,193467,4
62,701oRFDRzsz3WdhCFOtUJj,Whipping Post,Allman Brothers Band,album,1969,1960,57,0.315,0.64,4,-9.256,0,0.0339,0.329,0.341,0.0879,0.583,97.968,317438,4
63,6OojY4NdPiEGWHV2EUSwHz,Always See Your Face,Love,album,1969-09-01,1960,59,0.567,0.579,0,-12.565,1,0.029,0.38,2.8e-05,0.0562,0.92,109.84,209133,4
64,1XuccRABkfUVB4FjSVhjL1,Alone Again Or - 2015 Remaster,Love,album,1967,1960,62,0.318,0.303,11,-15.572,0,0.0302,0.664,0.000223,0.113,0.226,174.254,197275,4
65,4SDywo3ykB2PEthjXvo1UP,I Put A Spell On You,Creedence Clearwater Revival,album,1968-07-05,1960,62,0.391,0.732,4,-8.188,0,0.0295,0.00471,0.121,0.0979,0.622,100.354,271787,4
66,1dbQNSAXlOEtngcIZAOfPO,Buddy,Willie Nelson,album,1968-09-01,1960,51,0.598,0.0833,0,-14.861,1,0.0566,0.9,0.000381,0.114,0.453,108.199,135973,4
67,5XOM6Neo5IACRMhvd2ibKA,You Ain't Woman Enough,Loretta Lynn,album,1966-01-01,1960,52,0.744,0.455,8,-7.543,1,0.0366,0.634,0.0,0.0526,0.905,75.281,135160,4
68,3AXDLGI5TIYi72JcYFvNpv,I Think We're Alone Now - Single Version,Tommy James & The Shondells,album,1967-01-05,1960,56,0.783,0.42,11,-11.05,0,0.103,0.0722,0.0316,0.0692,0.716,131.75,130320,4
69,7gtrXOGETM9OkerNjNXeie,Waiting Around to Die,Townes Van Zandt,album,1969-09,1960,55,0.551,0.233,6,-18.251,0,0.0312,0.71,0.000949,0.11,0.659,89.574,165187,4
70,6kPxXhjSvy8RsmZBAJUiFs,You Ain't Goin' Nowhere,The Byrds,album,1968-08-30,1960,57,0.512,0.426,7,-14.081,1,0.0449,0.109,0.00225,0.764,0.7,132.495,153467,4
71,4tj7IsJrn4MvesuhoY0JBy,I'm So Lonesome I Could Cry,Hank Williams,album,1966-12-04,1960,52,0.524,0.258,4,-14.827,1,0.0287,0.829,0.00164,0.328,0.349,111.937,169067,3
72,6aXKbU2QGsOms8UT3eUOg1,Catch the Wind,Donovan,album,1965-05-14,1960,62,0.385,0.306,3,-12.167,1,0.0297,0.452,7.43e-06,0.128,0.546,173.377,173813,3
73,6k9DUKMJpWvu6eFG3O64Lg,Subterranean Homesick Blues,Bob Dylan,album,1965-03-22,1960,59,0.576,0.727,4,-9.973,0,0.05,0.702,0.0,0.324,0.751,173.854,141293,4
