,track_id,track_name,artist,album_type,release_date,decade,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
166,4BbwjVS27IuC7bvN7qzAvS,Back Where I Come From,Kenny Chesney,album,1996,1990,50,0.593,0.457,6,-8.74,1,0.0286,0.00221,0.0553,0.366,143.773,236827,4
167,1pZbQrvzJExLxvhYcrsYdG,Holes In The Floor Of Heaven,Steve Wariner,album,1998-01-01,1990,51,0.66,0.34,1,-10.113,1,0.027,0.0,0.0804,0.384,108.946,288373,4
168,0Q7Jp3aCwfYnSnbMDoXWyR,From This Moment On,Shania Twain,album,1997-11-04,1990,58,0.305,0.323,7,-9.396,1,0.0284,0.0,0.107,0.103,135.803,281533,4
169,2lCGAGpqgQIolNfpnycIZk,When You Say Nothing at All,Keith Whitley,compilation,1990-08-07,1990,52,0.673,0.346,3,-12.803,1,0.0245,4.48e-06,0.0475,0.396,80.012,222493,4
170,0YkbYk24ODhuewb79zZZzM,You Wreck Me,Tom Petty,album,1994-10-21,1990,55,0.479,0.89,10,-4.527,1,0.0374,0.000345,0.0932,0.795,164.491,202893,4
171,2CEWW0uqHj7sJrXdfHwozn,Margaritaville (with Jimmy Buffett),Alan Jackson,album,1999-10-25,1990,52,0.713,0.521,2,-11.038,1,0.0292,0.000219,0.237,0.504,124.026,255013,4
172,4FUfoWMypAyWbOavmYyeNu,That Don't Impress Me Much,Shania Twain,album,1997-11-04,1990,54,0.757,0.757,1,-7.598,1,0.0389,0.0,0.0474,0.967,124.956,218867,4
173,2M38X60UJnupGPbFTkVPNQ,Neon Moon,Brooks & Dunn,album,1991-08-13,1990,52,0.735,0.488,9,-10.56,1,0.026,1.1e-06,0.0949,0.452,102.383,261227,4
174,1mICUTQCbRkAvGmO0cwoAz,Blame It on Your Heart,Patty Loveless,album,1993-04-20,1990,51,0.624,0.808,8,-7.739,1,0.0472,0.0,0.0914,0.88,149.522,212648,4
175,47tVV7s6UzdcyTJBoIW7aX,Smoke Rings In The Dark,Gary Allan,album,1999-10-19,1990,50,0.534,0.596,2,-7.148,1,0.0279,0.000359,0.148,0.147,114.957,257646,4
176,7pN6VXqfhGqxCepdsYrZdi,I Like Beer,Tom T. Hall,album,1995-11-14,1990,52,0.528,0.425,4,-15.211,1,0.0381,0.0,0.224,0.829,171.839,173840,3
177,0hqXlHVE94CTwXXWRdikbY,"Easy Come, Easy Go",George Strait,album,1993-01-01,1990,50,0.811,0.371,2,-14.992,1,0.0328,0.0019,0.062,0.745,106.682,184960,4
178,5M8oqeozsjPMSXbkjo0SyD,My Town,Montgomery Gentry,compilation,1999,1990,50,0.511,0.846,2,-6.677,1,0.0531,0.0,0.0777,0.528,93.848,285587,4
179,5pzoq7ggrA0GN3SMjy0NT8,Walkaway Joe,Trisha Yearwood,album,1992-01-01,1990,51,0.619,0.405,0,-10.367,1,0.0263,0.00032,0.0718,0.428,114.051,260533,4
180,2dKRyO4cUumqbIXxLkdkoq,That's My Story,Collin Raye,album,1993,1990,50,0.642,0.834,5,-4.4,0,0.0982,0.0,0.108,0.645,137.875,182960,4
181,4mSETOGtJGzA6qkxee3yMc,I Still Believe In You,Vince Gill,album,1992-01-01,1990,52,0.579,0.285,8,-11.489,1,0.026,1.4e-05,0.113,0.232,135.45,239520,4
182,1mqydO6xMtyTPa8yo1SdVr,Amie,Pure Prairie League,compilation,1999-09-14,1990,52,0.553,0.449,9,-11.722,1,0.0292,0.0,0.0892,0.423,88.788,260933,4
183,5cCLKP66G2PJEorzYQVXHR,"Love, Me",Collin Raye,album,1991-08-27,1990,53,0.686,0.234,0,-12.646,1,0.0295,0.0,0.145,0.342,106.581,231507,4
184,7k9F26WpokhmRjzwxlCsCP,Two Sparrows In A Hurricane,Tanya Tucker,album,1992-01-01,1990,51,0.471,0.246,10,-13.678,1,0.0311,4.7e-06,0.109,0.226,97.101,250533,4
185,04F6rARD2mv4JiT8WglIDz,What Might Have Been,Little Texas,album,1993,1990,50,0.621,0.201,7,-15.112,1,0.0296,0.0,0.131,0.146,130.627,238800,4
