,track_id,track_name,artist,album_type,release_date,decade,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
897,60Lr94URXKMqK6KqEgyFH8,She Turns My Radio On,Jim Ford,album,2007-11-23,2000,49,0.759,0.739,11,-6.879,0,0.0398,0.752,0.0146,0.0963,0.809,92.099,200227,4
898,3EaUpHrrmoupWICI0uf6Y0,Stays In Mexico,Toby Keith,album,2008-01-01,2000,44,0.655,0.902,9,-3.419,1,0.0779,0.108,0,0.302,0.686,122.975,214800,4
899,0dc0eU5THc1uE0Q0KV73XN,"Please Help Me, I'm Falling",Hank Locklin,album,2003-03-03,2000,50,0.552,0.336,7,-10.712,1,0.0311,0.828,0,0.324,0.553,105.479,141467,4
900,1Ec7xc3zWcd4ysMINmr9LW,Lookin' For A Good Time,Lady A,album,2008-01-01,2000,45,0.665,0.936,7,-2.97,1,0.0544,0.0146,0,0.125,0.848,122.003,187320,4
901,2yB8Eo8f8OL7gYEBL8qT4G,T-R-O-U-B-L-E - 2003 Remaster,Travis Tritt,album,2003-04-22,2000,42,0.3,0.965,7,-6.724,1,0.0429,0.0121,0.000742,0.687,0.793,178.963,181333,4
902,6jmLrfqnuCU3dsDmcYvg8e,It Ain't Easy Being Me,Chris Knight,album,2009-09-15,2000,43,0.6,0.207,6,-12.341,0,0.0337,0.811,0,0.112,0.265,73.366,210347,4
903,6MMAUZfcDKtjbljNowTCuf,Days Go By,Keith Urban,compilation,2007-01-01,2000,45,0.587,0.895,2,-3.166,1,0.0355,0.0594,0,0.141,0.73,131.962,229533,4
904,78KHUFQ5c6iSzFzrY4LpMM,Kaw-Liga,Charley Pride,compilation,2009-09-29,2000,46,0.701,0.508,11,-11.994,0,0.0407,0.489,7.69e-06,0.122,0.581,107.234,162493,4
905,35UT9ZB7UROy8W8JvMmzMD,My Shit's Fucked Up,Warren Zevon,album,2000-01-25,2000,50,0.755,0.286,0,-14.017,1,0.0411,0.77,0.00308,0.113,0.591,71.456,165827,4
906,1esj1LFgfyFRbU5brtALfE,Crazy Eddie's Last Hurrah,Reckless Kelly,album,2000-10-31,2000,44,0.53,0.87,7,-6.488,1,0.0936,0.0146,6.84e-06,0.367,0.735,147.877,205253,4
907,5roCUfnDseW1Hw1cCI4kBd,Am I Blue,George Strait,album,2004-01-01,2000,44,0.781,0.523,0,-10.944,1,0.0288,0.285,0.00707,0.239,0.862,94.652,184627,4
908,1QvCbkLDuF7yX7gIUDJUmp,Let Them Be Little,Billy Dean,album,2005-03-29,2000,45,0.54,0.516,1,-5.221,1,0.0246,0.266,0,0.204,0.285,135.9,225653,4
909,1zUQcIZZK3QpJKeBNbS9wk,Speed,Montgomery Gentry,album,2002-08-19,2000,43,0.587,0.694,8,-8.171,1,0.0295,0.0148,1.04e-06,0.198,0.325,87.971,239067,4
910,11C0AsNGKckZzLkAA6HmuV,It's a Great Day to Whup Somebody's Ass,Paul Thorn,album,2008-02-04,2000,44,0.587,0.454,6,-8.797,1,0.0421,0.626,0,0.922,0.622,134.113,211840,4
911,6yrU8Dn9x8KcAftMIODkyP,Wanted,Jessie James Decker,album,2009-01-01,2000,43,0.665,0.779,0,-2.671,1,0.0367,0.00431,2.33e-05,0.617,0.9,109.986,184547,4
912,7EubLCzrE4SAsbp41UqyNG,You Had Me from Hello,Kenny Chesney,compilation,2000-09-25,2000,43,0.586,0.421,2,-8.869,1,0.0294,0.474,0,0.13,0.17,137.941,230600,4
913,5K0vSBpDPwR6gWhVuck0tn,I'd Love To Be Your Last,Clay Walker,album,2007-04-17,2000,45,0.413,0.281,1,-10.399,1,0.0289,0.803,0,0.114,0.252,134.037,204133,4
